"time","pid","cpu","ram","process"
14:48:53,19408,7.9,10.4,mysqld
14:48:54,19408,7.8,10.4,mysqld
14:48:55,19408,7.7,10.4,mysqld
14:48:56,19408,7.7,10.4,mysqld
14:48:57,19408,7.6,10.4,mysqld
14:48:58,19408,7.5,10.4,mysqld
14:48:59,19408,7.4,10.4,mysqld
14:49:00,19408,7.4,10.4,mysqld
14:49:01,19408,7.3,10.4,mysqld
14:49:02,19408,7.2,10.4,mysqld
14:49:03,19408,7.2,10.4,mysqld
14:49:04,19408,7.1,10.4,mysqld
14:49:05,19408,7.0,10.4,mysqld
14:49:06,19408,7.0,10.4,mysqld
14:49:07,19408,6.9,10.4,mysqld
14:49:08,19408,6.9,10.4,mysqld
14:49:09,19408,6.8,10.4,mysqld
14:49:10,19408,6.7,10.4,mysqld
14:49:11,19408,6.7,10.4,mysqld
14:49:12,19408,6.6,10.4,mysqld
14:49:13,19408,6.6,10.4,mysqld
14:49:14,19408,6.5,10.4,mysqld
14:49:15,19408,6.5,10.4,mysqld
14:49:16,19408,6.4,10.4,mysqld
14:49:17,19408,6.4,10.4,mysqld
14:49:18,19408,6.3,10.4,mysqld
14:49:19,19408,6.3,10.4,mysqld
14:49:20,19408,6.2,10.4,mysqld
14:49:21,19408,6.2,10.4,mysqld
14:49:22,19408,6.1,10.4,mysqld
14:49:23,19408,6.1,10.4,mysqld
14:49:24,19408,6.1,10.4,mysqld
14:49:25,19408,6.0,10.4,mysqld
14:49:26,19408,6.0,10.4,mysqld
14:49:27,19408,5.9,10.4,mysqld
14:49:28,19408,5.9,10.4,mysqld
14:49:29,19408,5.8,10.4,mysqld
14:49:30,19408,5.8,10.4,mysqld
14:49:31,19408,5.8,10.4,mysqld
14:49:32,19408,5.7,10.4,mysqld
